label,dur,rate,proto,dpkts,sttl,dwin,dttl,smean,sbytes,decision,nn_output,threshold
ATTACK,0,0,512,0,508,0,0,38,2,1,1011116,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,96,36,124,1,504,45,17,1,1201535,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,1007160,-420650
NORMAL,0,0,96,196,62,1,58,18,45,0,-734450,-420650
ATTACK,1,512,96,84,124,1,504,374,482,1,1692403,-420650
NORMAL,0,0,96,340,62,1,58,16,75,0,-1581973,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,96,20,508,1,504,30,12,0,-1706559,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,96,28,124,1,504,28,12,1,1167001,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,272,4,62,0,58,24,1,0,-504938,-420650
ATTACK,7,512,96,340,508,1,504,512,512,1,186444,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,976203,-420650
ATTACK,57,512,272,0,508,0,0,109,281,1,-88796,-420650
ATTACK,0,0,96,44,508,1,504,96,40,1,700618,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,2,512,96,76,508,1,504,512,512,1,-401233,-420650
NORMAL,0,0,96,36,62,1,58,53,16,0,-774451,-420650
NORMAL,0,0,96,164,62,1,58,346,512,0,-1262668,-420650
NORMAL,9,455,272,0,508,0,0,254,32,1,-162683,-420650
ATTACK,0,0,96,28,508,1,504,35,17,1,673239,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,2,512,96,36,508,1,504,34,16,1,700644,-420650
ATTACK,1,512,96,116,124,1,504,15,16,1,1468855,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,1,512,96,52,508,1,504,512,512,0,-445319,-420650
NORMAL,0,0,96,364,62,1,58,16,80,0,-1539106,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,272,4,62,0,58,24,1,0,-504938,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,1,512,96,76,508,1,504,512,512,1,-403320,-420650
ATTACK,0,0,512,4,508,0,120,55,8,1,945509,-420650
ATTACK,0,0,272,4,124,0,504,24,1,1,1604504,-420650
ATTACK,1,512,96,36,124,1,504,30,12,1,1189898,-420650
NORMAL,0,0,96,108,62,1,58,67,64,0,-626134,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,96,276,62,1,58,17,62,0,-1786816,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,932649,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,96,68,62,1,58,36,23,0,-748191,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,926071,-420650
ATTACK,7,512,512,0,508,0,0,123,84,1,814625,-420650
NORMAL,0,0,272,4,62,0,58,24,1,0,-504938,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,96,196,62,1,58,18,47,0,-732796,-420650
ATTACK,0,0,96,68,124,1,504,24,13,0,1298670,-420650
NORMAL,0,0,272,4,62,0,58,24,1,0,-504938,-420650
ATTACK,0,0,96,20,508,1,504,113,38,1,631464,-420650
ATTACK,5,512,96,196,124,1,504,59,115,1,1532041,-420650
NORMAL,0,0,96,68,62,1,58,53,24,0,-718351,-420650
NORMAL,0,0,272,4,62,0,58,20,1,0,-507477,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,14,1,1,457637,-420650
NORMAL,1,512,96,68,62,1,58,53,24,0,-718351,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,797898,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,796373,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,7,0,1,469112,-420650
NORMAL,0,0,512,0,0,0,0,11,0,1,792593,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,789164,-420650
NORMAL,0,0,96,28,508,1,504,14,7,1,683971,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,783979,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,782161,-420650
ATTACK,39,512,96,60,508,1,504,115,87,1,699188,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,96,20,508,1,504,37,15,1,651295,-420650
NORMAL,0,0,96,164,62,1,58,338,512,0,-1270094,-420650
NORMAL,0,0,96,92,62,1,58,46,57,0,-674544,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,1,512,96,36,124,1,504,10,5,1,1193152,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,768861,-420650
ATTACK,0,0,272,0,508,0,0,30,2,1,415860,-420650
NORMAL,0,0,96,68,62,1,58,101,63,0,-605394,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,272,0,508,0,0,254,16,1,-182927,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,762387,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,759412,-420650
NORMAL,0,0,96,28,124,1,504,29,12,1,1167165,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,757416,-420650
ATTACK,0,0,96,20,508,1,504,37,15,1,653473,-420650
ATTACK,1,512,96,28,508,1,504,16,8,1,683624,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,96,36,508,1,504,20,15,1,699409,-420650
NORMAL,0,0,96,68,62,1,58,53,24,0,-718351,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,749914,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,96,20,508,1,504,30,13,1,655490,-420650
ATTACK,0,0,272,0,508,0,0,30,2,1,415860,-420650
NORMAL,1,512,96,36,124,1,504,30,12,1,1189898,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,96,68,124,1,504,28,12,1,1300152,-420650
ATTACK,57,512,96,512,508,1,504,512,512,1,720497,-420650
ATTACK,0,0,272,0,508,0,0,30,2,1,415860,-420650
ATTACK,0,0,96,28,508,1,504,16,8,1,683624,-420650
NORMAL,0,0,96,68,62,1,58,48,25,0,-727483,-420650
NORMAL,1,512,96,44,508,1,504,34,19,1,722645,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,14,1,1,457637,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,715747,-420650
ATTACK,0,0,96,60,508,1,504,73,31,1,764148,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,713551,-420650
ATTACK,10,409,512,0,508,0,0,38,5,1,707029,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,96,20,508,1,504,14,7,1,658730,-420650
ATTACK,0,0,96,28,508,1,504,36,14,1,679313,-420650
NORMAL,0,0,272,4,62,0,58,24,1,0,-504938,-420650
ATTACK,0,0,96,20,508,1,504,28,12,1,653926,-420650
ATTACK,0,0,96,20,508,1,504,64,23,1,645956,-420650
ATTACK,2,512,96,36,508,1,504,18,9,1,709036,-420650
ATTACK,0,0,272,0,508,0,0,34,2,1,405104,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,96,68,62,1,58,53,24,0,-718351,-420650
ATTACK,0,0,272,0,508,0,0,30,2,1,415860,-420650
NORMAL,0,0,96,36,508,1,504,18,9,1,709036,-420650
NORMAL,1,512,96,28,508,1,504,26,11,1,680753,-420650
ATTACK,1,512,96,100,508,1,504,62,64,1,834710,-420650
NORMAL,0,0,96,44,62,1,58,14,6,0,-799620,-420650
NORMAL,3,512,96,68,62,1,58,36,23,0,-748191,-420650
NORMAL,0,0,272,4,62,0,58,24,1,0,-504938,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,96,164,62,1,58,19,39,0,-632201,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,687537,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,685312,-420650
NORMAL,0,0,272,4,62,0,58,24,1,0,-504938,-420650
NORMAL,0,0,96,28,62,1,58,14,4,0,-815210,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,14,1,1,457637,-420650
NORMAL,0,0,272,4,62,0,58,24,1,0,-504938,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,678104,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,671629,-420650
ATTACK,0,0,272,0,508,0,0,30,2,1,415860,-420650
NORMAL,0,0,96,68,62,1,58,36,23,0,-748191,-420650
NORMAL,0,0,272,4,62,0,58,24,1,0,-504938,-420650
NORMAL,0,0,272,4,62,0,58,24,1,0,-504938,-420650
NORMAL,0,0,96,244,62,1,58,17,55,0,-1863814,-420650
ATTACK,0,0,96,76,124,1,504,120,90,1,1389493,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,96,52,508,1,504,16,11,1,756689,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,2,512,96,204,62,1,58,26,59,0,-592693,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,653058,-420650
ATTACK,0,0,96,28,508,1,504,136,46,1,663557,-420650
NORMAL,0,0,512,0,0,0,0,11,0,1,652767,-420650
ATTACK,0,0,96,28,508,1,504,16,8,1,683624,-420650
NORMAL,0,0,272,12,62,0,58,59,8,0,-475713,-420650
ATTACK,0,0,96,28,508,1,504,78,33,1,656813,-420650
NORMAL,1,512,96,68,62,1,58,53,24,0,-718351,-420650
NORMAL,0,0,272,4,62,0,58,24,1,0,-504938,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,272,4,62,0,58,24,1,0,-504938,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,272,0,508,0,0,163,10,1,11411,-420650
ATTACK,1,512,96,28,508,1,504,32,16,1,674822,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,640171,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,96,28,508,1,504,16,8,1,683624,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,635650,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,96,44,124,1,504,27,12,1,1216936,-420650
NORMAL,0,0,96,292,62,1,58,17,65,0,-1735173,-420650
ATTACK,0,0,96,36,508,1,504,49,22,1,694671,-420650
NORMAL,0,0,96,68,62,1,58,97,61,0,-614150,-420650
NORMAL,0,0,96,28,508,1,504,113,38,1,658010,-420650
ATTACK,0,0,96,28,508,1,504,16,8,1,683624,-420650
ATTACK,1,512,96,36,124,1,504,31,13,1,1190138,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,620476,-420650
NORMAL,0,0,272,4,62,0,58,21,1,0,-506881,-420650
ATTACK,0,0,96,36,508,1,504,152,71,1,673472,-420650
ATTACK,0,0,96,76,124,1,504,80,57,1,1321381,-420650
NORMAL,0,0,96,68,62,1,58,36,23,0,-748191,-420650
ATTACK,0,0,96,28,508,1,504,14,7,1,683971,-420650
ATTACK,1,512,96,36,508,1,504,72,31,1,684934,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,612878,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,609850,-420650
ATTACK,0,0,96,36,508,1,504,16,13,1,701360,-420650
ATTACK,0,0,272,0,508,0,0,222,14,1,-159832,-420650
NORMAL,0,0,272,0,508,0,0,254,16,1,-182927,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,2,512,96,28,124,1,504,10,5,1,1165576,-420650
NORMAL,0,0,96,268,62,1,58,17,60,0,-1804789,-420650
ATTACK,0,0,96,36,508,1,504,29,15,1,700496,-420650
ATTACK,0,0,96,172,124,1,504,21,16,1,1698197,-420650
NORMAL,0,0,96,116,62,1,58,70,71,0,-622537,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,594007,-420650
NORMAL,1,512,96,28,508,1,504,113,38,1,658010,-420650
NORMAL,0,0,272,4,62,0,58,24,1,0,-504938,-420650
NORMAL,0,0,272,4,62,0,58,20,1,0,-507477,-420650
ATTACK,0,0,272,0,508,0,0,22,1,1,436839,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,586117,-420650
ATTACK,0,0,272,0,508,0,0,30,2,1,415860,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,96,20,62,1,58,306,139,1,-214439,-420650
ATTACK,0,0,96,28,508,1,504,26,11,1,681020,-420650
ATTACK,0,0,272,0,508,0,0,254,16,1,-182927,-420650
NORMAL,0,0,96,4,124,1,504,70,15,1,1119501,-420650
ATTACK,0,0,512,0,508,0,0,33,2,1,579930,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,96,196,62,1,58,18,45,0,-789334,-420650
NORMAL,1,512,96,68,62,1,58,48,25,0,-838207,-420650
NORMAL,0,0,96,68,62,1,58,36,23,0,-748191,-420650
ATTACK,1,512,96,28,508,1,504,14,7,1,683971,-420650
NORMAL,0,0,272,4,62,0,58,24,1,0,-504938,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,96,20,62,1,58,306,139,1,-214439,-420650
ATTACK,1,512,96,52,508,1,504,512,512,0,-445319,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,96,20,508,1,504,23,10,0,-2080450,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,563405,-420650
NORMAL,0,0,96,292,62,1,58,17,65,0,-1731133,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,1,512,96,28,508,1,504,16,8,1,683624,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,548609,-420650
NORMAL,0,0,272,12,62,0,58,56,8,0,-475554,-420650
ATTACK,0,0,272,0,508,0,0,53,3,1,356273,-420650
NORMAL,1,512,96,512,62,1,58,14,166,0,-1285066,-420650
ATTACK,2,512,96,84,124,1,504,14,17,1,1348846,-420650
ATTACK,0,0,272,0,508,0,0,7,0,1,469112,-420650
NORMAL,0,0,96,260,62,1,58,17,59,0,-1825971,-420650
ATTACK,0,0,96,60,124,1,504,10,5,1,1276325,-420650
NORMAL,0,0,272,0,508,0,0,254,16,1,-182927,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,512,0,0,0,0,18,0,1,516246,-420650
NORMAL,0,0,96,164,62,1,58,26,35,0,-634409,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,272,4,62,0,58,24,1,0,-504938,-420650
NORMAL,0,0,96,28,62,1,58,14,4,0,-815210,-420650
NORMAL,0,0,272,4,62,0,58,24,1,0,-504938,-420650
NORMAL,0,0,96,92,62,1,58,84,72,0,-616983,-420650
ATTACK,0,0,96,20,508,1,504,16,8,1,658846,-420650
ATTACK,57,512,512,0,508,0,0,124,512,1,336552,-420650
NORMAL,0,0,96,68,62,1,58,36,23,0,-748191,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,96,164,62,1,58,19,39,0,-722961,-420650
NORMAL,0,0,272,4,62,0,58,24,1,0,-504938,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,96,268,62,1,58,17,60,0,-1804789,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,332679,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,0,0,96,52,62,1,58,21,22,0,-783681,-420650
ATTACK,0,0,96,28,508,1,504,16,8,1,683624,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,272,0,508,0,0,254,16,1,-182927,-420650
ATTACK,0,0,96,20,508,1,504,30,13,1,655490,-420650
NORMAL,0,0,272,4,62,0,58,20,1,0,-507477,-420650
NORMAL,0,0,96,28,508,1,504,420,269,1,975531,-420650
NORMAL,0,0,96,68,62,1,58,48,25,0,-727483,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
ATTACK,0,0,96,28,508,1,504,34,16,1,674347,-420650
NORMAL,0,0,96,68,62,1,58,36,23,0,-748191,-420650
NORMAL,0,0,272,4,62,0,58,20,1,0,-507477,-420650
NORMAL,0,0,272,12,62,0,58,59,8,0,-475713,-420650
ATTACK,26,512,96,512,508,1,504,512,512,1,721223,-420650
ATTACK,0,0,96,20,508,1,504,14,7,1,658730,-420650
NORMAL,0,0,512,0,0,0,0,11,0,1,323121,-420650
NORMAL,0,0,96,92,62,1,58,46,57,0,-674544,-420650
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650
NORMAL,1,512,96,452,62,1,58,31,148,0,-1462550,-420650
NORMAL,0,0,272,12,62,0,58,59,8,0,-475713,-420650
ATTACK,9,512,512,0,508,0,0,19,81,1,334230,-420650
ATTACK,0,0,512,0,508,0,0,38,2,1,334230,-420650
NORMAL,0,0,272,12,62,0,58,54,7,0,-476611,-420650
