label,dur,rate,proto,dpkts,sttl,dwin,dttl,smean,sbytes,decision,nn_output,threshold,result
ATTACK,0,0,512,0,0,0,0,18,0,0,-824466,-420650,MISSED
ATTACK,0,0,96,20,508,1,504,30,12,1,-377676,-420650,BLOCKED (Correct)
ATTACK,0,0,96,36,124,1,504,28,12,1,-369666,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
NORMAL,0,0,96,20,508,1,504,20,9,1,-381458,-420650,FALSE ALARM
ATTACK,0,0,96,20,508,1,504,37,14,1,-373718,-420650,BLOCKED (Correct)
ATTACK,2,512,96,84,124,1,504,13,18,0,-813016,-420650,MISSED
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,30,2,1,415860,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
NORMAL,0,0,272,0,508,0,0,294,18,1,-184569,-420650,FALSE ALARM
ATTACK,0,0,96,60,124,1,504,30,13,0,-815328,-420650,MISSED
ATTACK,40,512,512,0,508,0,0,13,33,0,-815328,-420650,MISSED
ATTACK,0,0,96,44,508,1,504,15,11,1,-375221,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,-375221,-420650,BLOCKED (Correct)
ATTACK,1,512,96,84,124,1,504,59,44,0,-774855,-420650,MISSED
ATTACK,0,0,96,44,508,1,504,16,10,1,-379549,-420650,BLOCKED (Correct)
ATTACK,7,512,96,84,124,1,504,13,19,0,-813016,-420650,MISSED
ATTACK,0,0,96,28,508,1,504,424,272,1,131002,-420650,BLOCKED (Correct)
ATTACK,0,0,96,20,508,1,504,231,106,1,-221948,-420650,BLOCKED (Correct)
NORMAL,0,0,272,12,62,0,58,59,8,0,-736762,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,96,20,508,1,504,19,9,1,-381176,-420650,BLOCKED (Correct)
NORMAL,0,0,272,4,62,0,58,20,1,0,-754765,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
NORMAL,0,0,96,452,62,1,58,32,146,0,-2137418,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
NORMAL,0,0,272,4,62,0,58,24,1,0,-750623,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,451469,-420650,BLOCKED (Correct)
NORMAL,0,0,96,20,508,1,504,13,7,1,-382677,-420650,FALSE ALARM
NORMAL,0,0,96,92,62,1,58,78,67,0,-917295,-420650,ALLOWED (Correct)
NORMAL,0,0,96,244,62,1,58,17,55,0,-2222899,-420650,ALLOWED (Correct)
ATTACK,0,0,96,28,508,1,504,16,8,1,-382049,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,0,-1637133,-420650,MISSED
NORMAL,0,0,96,108,62,1,58,67,69,0,-921949,-420650,ALLOWED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,0,-921949,-420650,MISSED
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,96,36,124,1,504,45,17,0,-807793,-420650,MISSED
ATTACK,0,0,512,0,508,0,0,38,2,0,-807793,-420650,MISSED
NORMAL,0,0,96,196,62,1,58,18,45,0,-994960,-420650,ALLOWED (Correct)
ATTACK,1,512,96,84,124,1,504,374,482,1,5153,-420650,BLOCKED (Correct)
NORMAL,0,0,96,340,62,1,58,16,75,0,-2205954,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,96,20,508,1,504,30,12,1,-377162,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
NORMAL,0,0,96,28,124,1,504,28,12,0,-815066,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
NORMAL,0,0,272,4,62,0,58,24,1,0,-750623,-420650,ALLOWED (Correct)
ATTACK,7,512,96,340,508,1,504,512,512,0,-698244,-420650,MISSED
ATTACK,0,0,512,0,508,0,0,38,2,0,-698244,-420650,MISSED
ATTACK,57,512,272,0,508,0,0,109,281,1,-88796,-420650,BLOCKED (Correct)
ATTACK,0,0,96,44,508,1,504,96,40,1,-340999,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,2,512,96,76,508,1,504,512,512,0,-701006,-420650,MISSED
NORMAL,0,0,96,36,62,1,58,53,16,0,-996272,-420650,ALLOWED (Correct)
NORMAL,0,0,96,164,62,1,58,346,512,1,-2159,-420650,FALSE ALARM
NORMAL,9,455,272,0,508,0,0,254,32,1,-162683,-420650,FALSE ALARM
ATTACK,0,0,96,28,508,1,504,35,17,1,-367193,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,2,512,96,36,508,1,504,34,16,1,-367418,-420650,BLOCKED (Correct)
ATTACK,1,512,96,116,124,1,504,15,16,0,-816458,-420650,MISSED
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,1,512,96,52,508,1,504,512,512,0,-701006,-420650,MISSED
NORMAL,0,0,96,364,62,1,58,16,80,0,-2201161,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
NORMAL,0,0,272,4,62,0,58,24,1,0,-750623,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,1,512,96,76,508,1,504,512,512,0,-699531,-420650,MISSED
ATTACK,0,0,512,4,508,0,120,55,8,0,-699531,-420650,MISSED
ATTACK,0,0,272,4,124,0,504,24,1,0,-512997,-420650,MISSED
ATTACK,1,512,96,36,124,1,504,30,12,0,-816417,-420650,MISSED
NORMAL,0,0,96,108,62,1,58,67,64,0,-930543,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
NORMAL,0,0,96,276,62,1,58,17,62,0,-2216706,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
NORMAL,0,0,96,68,62,1,58,36,23,0,-1000550,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,451469,-420650,BLOCKED (Correct)
ATTACK,7,512,512,0,508,0,0,123,84,1,451469,-420650,BLOCKED (Correct)
NORMAL,0,0,272,4,62,0,58,24,1,0,-750623,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
NORMAL,0,0,96,196,62,1,58,18,47,0,-992000,-420650,ALLOWED (Correct)
ATTACK,0,0,96,68,124,1,504,24,13,0,-814281,-420650,MISSED
NORMAL,0,0,272,4,62,0,58,24,1,0,-750623,-420650,ALLOWED (Correct)
ATTACK,0,0,96,20,508,1,504,113,38,1,-354172,-420650,BLOCKED (Correct)
ATTACK,5,512,96,196,124,1,504,59,115,0,-733568,-420650,MISSED
NORMAL,0,0,96,68,62,1,58,53,24,0,-988346,-420650,ALLOWED (Correct)
NORMAL,0,0,272,4,62,0,58,20,1,0,-754765,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,14,1,1,457637,-420650,BLOCKED (Correct)
NORMAL,1,512,96,68,62,1,58,53,24,0,-988346,-420650,ALLOWED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,0,-988346,-420650,MISSED
ATTACK,0,0,512,0,508,0,0,38,2,0,-988346,-420650,MISSED
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,7,0,1,469112,-420650,BLOCKED (Correct)
NORMAL,0,0,512,0,0,0,0,11,0,1,469112,-420650,FALSE ALARM
ATTACK,0,0,512,0,508,0,0,38,2,1,469112,-420650,BLOCKED (Correct)
NORMAL,0,0,96,28,508,1,504,14,7,1,-382677,-420650,FALSE ALARM
ATTACK,0,0,512,0,508,0,0,38,2,1,-382677,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,-382677,-420650,BLOCKED (Correct)
ATTACK,39,512,96,60,508,1,504,115,87,1,-269043,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,96,20,508,1,504,37,15,1,-372076,-420650,BLOCKED (Correct)
NORMAL,0,0,96,164,62,1,58,338,512,0,-1203362,-420650,ALLOWED (Correct)
NORMAL,0,0,96,92,62,1,58,46,57,0,-959220,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,1,512,96,36,124,1,504,10,5,0,-824466,-420650,MISSED
ATTACK,0,0,512,0,508,0,0,38,2,0,-824466,-420650,MISSED
ATTACK,0,0,272,0,508,0,0,30,2,1,415860,-420650,BLOCKED (Correct)
NORMAL,0,0,96,68,62,1,58,101,63,0,-905167,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
NORMAL,0,0,272,0,508,0,0,254,16,1,-182927,-420650,FALSE ALARM
ATTACK,0,0,512,0,508,0,0,38,2,1,-182927,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,-182927,-420650,BLOCKED (Correct)
NORMAL,0,0,96,28,124,1,504,29,12,0,-815985,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,96,20,508,1,504,37,15,1,-373718,-420650,BLOCKED (Correct)
ATTACK,1,512,96,28,508,1,504,16,8,1,-382049,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
NORMAL,0,0,96,36,508,1,504,20,15,1,-367279,-420650,FALSE ALARM
NORMAL,0,0,96,68,62,1,58,53,24,0,-988346,-420650,ALLOWED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,0,-988346,-420650,MISSED
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,96,20,508,1,504,30,13,1,-377676,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,30,2,1,415860,-420650,BLOCKED (Correct)
NORMAL,1,512,96,36,124,1,504,30,12,0,-816417,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,96,68,124,1,504,28,12,0,-815985,-420650,MISSED
ATTACK,57,512,96,512,508,1,504,512,512,0,-698244,-420650,MISSED
ATTACK,0,0,272,0,508,0,0,30,2,1,415860,-420650,BLOCKED (Correct)
ATTACK,0,0,96,28,508,1,504,16,8,1,-382049,-420650,BLOCKED (Correct)
NORMAL,0,0,96,68,62,1,58,48,25,0,-991181,-420650,ALLOWED (Correct)
NORMAL,1,512,96,44,508,1,504,34,19,1,-360052,-420650,FALSE ALARM
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,14,1,1,457637,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,96,60,508,1,504,73,31,1,-343655,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,-343655,-420650,BLOCKED (Correct)
ATTACK,10,409,512,0,508,0,0,38,5,1,-343655,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,96,20,508,1,504,14,7,1,-382677,-420650,BLOCKED (Correct)
ATTACK,0,0,96,28,508,1,504,36,14,1,-373777,-420650,BLOCKED (Correct)
NORMAL,0,0,272,4,62,0,58,24,1,0,-750623,-420650,ALLOWED (Correct)
ATTACK,0,0,96,20,508,1,504,28,12,1,-376120,-420650,BLOCKED (Correct)
ATTACK,0,0,96,20,508,1,504,64,23,1,-356347,-420650,BLOCKED (Correct)
ATTACK,2,512,96,36,508,1,504,18,9,1,-380755,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,34,2,1,405104,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
NORMAL,0,0,96,68,62,1,58,53,24,0,-988346,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,30,2,1,415860,-420650,BLOCKED (Correct)
NORMAL,0,0,96,36,508,1,504,18,9,1,-380755,-420650,FALSE ALARM
NORMAL,1,512,96,28,508,1,504,26,11,1,-377912,-420650,FALSE ALARM
ATTACK,1,512,96,100,508,1,504,62,64,1,-262958,-420650,BLOCKED (Correct)
NORMAL,0,0,96,44,62,1,58,14,6,0,-1025414,-420650,ALLOWED (Correct)
NORMAL,3,512,96,68,62,1,58,36,23,0,-1000550,-420650,ALLOWED (Correct)
NORMAL,0,0,272,4,62,0,58,24,1,0,-750623,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
NORMAL,0,0,96,164,62,1,58,19,39,0,-998354,-420650,ALLOWED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,0,-998354,-420650,MISSED
ATTACK,0,0,512,0,508,0,0,38,2,0,-998354,-420650,MISSED
NORMAL,0,0,272,4,62,0,58,24,1,0,-750623,-420650,ALLOWED (Correct)
NORMAL,0,0,96,28,62,1,58,14,4,0,-1029047,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,14,1,1,457637,-420650,BLOCKED (Correct)
NORMAL,0,0,272,4,62,0,58,24,1,0,-750623,-420650,ALLOWED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,0,-750623,-420650,MISSED
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,30,2,1,415860,-420650,BLOCKED (Correct)
NORMAL,0,0,96,68,62,1,58,36,23,0,-1000550,-420650,ALLOWED (Correct)
NORMAL,0,0,272,4,62,0,58,24,1,0,-750623,-420650,ALLOWED (Correct)
NORMAL,0,0,272,4,62,0,58,24,1,0,-750623,-420650,ALLOWED (Correct)
NORMAL,0,0,96,244,62,1,58,17,55,0,-2222899,-420650,ALLOWED (Correct)
ATTACK,0,0,96,76,124,1,504,120,90,0,-643073,-420650,MISSED
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,96,52,508,1,504,16,11,1,-375221,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
NORMAL,2,512,96,204,62,1,58,26,59,0,-971756,-420650,ALLOWED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,0,-971756,-420650,MISSED
ATTACK,0,0,96,28,508,1,504,136,46,1,-349171,-420650,BLOCKED (Correct)
NORMAL,0,0,512,0,0,0,0,11,0,1,-349171,-420650,FALSE ALARM
ATTACK,0,0,96,28,508,1,504,16,8,1,-382049,-420650,BLOCKED (Correct)
NORMAL,0,0,272,12,62,0,58,59,8,0,-736762,-420650,ALLOWED (Correct)
ATTACK,0,0,96,28,508,1,504,78,33,1,-343530,-420650,BLOCKED (Correct)
NORMAL,1,512,96,68,62,1,58,53,24,0,-988346,-420650,ALLOWED (Correct)
NORMAL,0,0,272,4,62,0,58,24,1,0,-750623,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
NORMAL,0,0,272,4,62,0,58,24,1,0,-750623,-420650,ALLOWED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
NORMAL,0,0,272,0,508,0,0,163,10,1,11411,-420650,FALSE ALARM
ATTACK,1,512,96,28,508,1,504,32,16,1,-367955,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,-367955,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,96,28,508,1,504,16,8,1,-382049,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,512,0,508,0,0,38,2,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,272,0,508,0,0,16,1,1,451469,-420650,BLOCKED (Correct)
ATTACK,0,0,96,44,124,1,504,27,12,0,-815953,-420650,MISSED
NORMAL,0,0,96,292,62,1,58,17,65,0,-2215316,-420650,ALLOWED (Correct)
ATTACK,0,0,96,36,508,1,504,49,22,1,-358113,-420650,BLOCKED (Correct)
NORMAL,0,0,96,68,62,1,58,97,61,0,-913799,-420650,ALLOWED (Correct)
NORMAL,0,0,96,28,508,1,504,113,38,1,-354172,-420650,FALSE ALARM
ATTACK,0,0,96,28,508,1,504,16,8,1,-382049,-420650,BLOCKED (Correct)
ATTACK,1,512,96,36,124,1,504,31,13,0,-814266,-420650,MISSED
ATTACK,0,0,512,0,508,0,0,38,2,0,-814266,-420650,MISSED
NORMAL,0,0,272,4,62,0,58,21,1,0,-752656,-420650,ALLOWED (Correct)
ATTACK,0,0,96,36,508,1,504,152,71,1,-327663,-420650,BLOCKED (Correct)
